plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass
392,51793,240,'26','Decimal(''441418764261550080'')',8.632258,-0.220188,21.22,0.380878,3.10E-05,0,'QSO','BROADLINE'
399,51817,26,'26','Decimal(''449241240140015616'')',22.17447,-0.554768,17.08,1.65869,0.000365,0,'QSO','BROADLINE'
400,51820,252,'26','Decimal(''450429262504159232'')',23.18875,-0.769441,12.29,1.47148,0.000342,0,'QSO','BROADLINE'
418,51817,52,'26','Decimal(''470640485195606016'')',10.099026,14.135399,38.27,1.89445,0.000235,0,'QSO','BROADLINE'
418,51884,58,'26','Decimal(''470642135587121152'')',10.099026,14.135399,48.39,1.89452,0.000224,0,'QSO','BROADLINE'
419,51812,250,'26','Decimal(''471820810844137472'')',10.675032,13.913934,36.08,1.61961,0.000432,0,'QSO','BROADLINE'
419,51868,250,'26','Decimal(''471820811783661568'')',10.675032,13.913934,38.4,1.62281,0.00031,0,'QSO','BROADLINE'
419,51879,257,'26','Decimal(''471822736113559552'')',10.675032,13.913934,37.22,1.62452,0.000212,0,'QSO','BROADLINE'
420,51871,160,'26','Decimal(''472921972729210880'')',13.645559,14.92464,34.24,0.875128,0.000122,0,'QSO','BROADLINE'
421,51821,381,'26','Decimal(''474108619814627328'')',14.488525,15.353075,24.83,1.27321,0.000216,0,'QSO','BROADLINE'
421,51821,558,'26','Decimal(''474157273204156416'')',15.955469,15.028543,29.78,1.74577,0.000275,0,'QSO','BROADLINE'
423,51821,310,'26','Decimal(''476340903296919552'')',17.822328,14.448231,21.76,1.1541,0.000459,0,'QSO','BROADLINE'
426,51882,154,'26','Decimal(''479675723087374336'')',25.004328,13.464298,25.24,1.29452,0.000247,0,'QSO','BROADLINE'
651,52141,72,'26','Decimal(''732980666483894272'')',3.100114,-10.37397,34.04,0.224388,5.80E-05,0,'QSO','AGN BROADLINE'
689,52262,30,'26','Decimal(''775753320101865472'')',8.632258,-0.220188,20.75,0.380876,3.00E-05,0,'QSO','BROADLINE'
690,52261,266,'26','Decimal(''776944091177969664'')',8.632258,-0.220188,23.78,0.380869,3.00E-05,0,'QSO','BROADLINE'
2038,53327,109,'26','Decimal(''2294614027654948864'')',11.351985,24.523853,25.01,1.82959,0.000315,0,'QSO','BROADLINE'
3587,55182,390,'v5_10_0','Decimal(''4038710255168757760'')',8.632253,-0.220217,30.3,0.380988,1.90E-05,0,'QSO','BROADLINE'
4221,55443,232,'v5_10_0','Decimal(''4752487369776537600'')',8.632264,-0.220199,30.72,0.381006,2.10E-05,0,'QSO','BROADLINE'
4222,55444,711,'v5_10_0','Decimal(''4753744936217583616'')',10.016076,0.981739,4.49,6.37448,0.000879,0,'QSO',
4229,55501,56,'v5_10_0','Decimal(''4761446191492734976'')',23.188751,-0.769446,23.74,1.47117,0.000201,0,'QSO','BROADLINE'
